City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
60,Ostrovnoy,RU,2020-06-25 20:57:54,68.05,39.51,53.44,68,96,5.46
61,Katsuura,JP,2020-06-25 20:57:54,35.13,140.3,71.01,93,97,1.01
62,Aleksandrovsk-Sakhalinskiy,RU,2020-06-25 20:57:54,50.9,142.16,48.15,92,100,4.29
63,Kargil,IN,2020-06-25 20:57:55,34.57,76.1,53.15,52,42,7.34
64,Maltahohe,NA,2020-06-25 20:57:55,-24.83,16.98,53.47,42,0,11.14
65,Cayenne,GF,2020-06-25 20:57:55,4.93,-52.33,84.2,74,75,8.05
66,Hamilton,US,2020-06-25 20:57:55,39.18,-84.53,84.99,37,90,9.17
67,Tuktoyaktuk,CA,2020-06-25 20:57:56,69.45,-133.04,48.2,49,75,13.87
68,Saint George,US,2020-06-25 20:57:56,37.1,-113.58,102.99,10,1,9.17
69,Prince Rupert,CA,2020-06-25 20:53:50,54.32,-130.32,51.8,93,90,8.05
70,Bajos De Haina,DO,2020-06-25 20:57:56,18.42,-70.03,89.6,62,40,11.41
71,Coihaique,CL,2020-06-25 20:57:57,-45.58,-72.07,37.4,64,75,5.82
72,Mahebourg,MU,2020-06-25 20:57:57,-20.41,57.7,71.6,73,40,16.11
73,Ahipara,NZ,2020-06-25 20:57:57,-35.17,173.17,59.54,87,100,10.87
74,Esperance,AU,2020-06-25 20:57:57,-33.87,121.9,50.0,57,59,16.11
75,Hermanus,ZA,2020-06-25 20:54:04,-34.42,19.23,55.99,94,96,15.01
76,Biu,NG,2020-06-25 20:57:58,10.61,12.19,80.13,67,85,10.49
77,Jamestown,US,2020-06-25 20:56:10,42.1,-79.24,73.0,68,40,9.17
78,Carnarvon,AU,2020-06-25 20:56:17,-24.87,113.63,53.6,100,0,4.7
79,Cherskiy,RU,2020-06-25 20:57:58,68.75,161.3,53.69,62,98,14.61
80,Hithadhoo,MV,2020-06-25 20:57:59,-0.6,73.08,84.09,75,26,10.49
81,Puerto Ayora,EC,2020-06-25 20:57:59,-0.74,-90.35,80.6,61,80,26.4
82,Taltal,CL,2020-06-25 20:57:59,-25.4,-70.48,64.09,58,100,5.23
83,Altay,CN,2020-06-25 20:57:59,47.87,88.12,55.38,41,6,2.95
84,Namibe,AO,2020-06-25 20:58:00,-15.2,12.15,66.2,69,0,4.34
85,Yomou,GN,2020-06-25 20:58:00,7.56,-9.27,71.96,96,92,4.97
86,Samarai,PG,2020-06-25 20:58:00,-10.62,150.67,78.71,81,95,19.93
87,Channahon,US,2020-06-25 20:58:01,41.43,-88.23,84.2,37,40,6.93
88,Longyearbyen,SJ,2020-06-25 20:58:01,78.22,15.64,46.4,81,75,3.36
89,Arlit,NE,2020-06-25 20:58:01,18.74,7.39,98.94,9,96,12.64
90,Majene,ID,2020-06-25 20:58:02,-3.54,118.97,77.77,85,98,11.88
91,Jabinyanah,TN,2020-06-25 20:58:02,35.03,10.91,78.8,61,57,3.36
92,Kruisfontein,ZA,2020-06-25 20:58:02,-34.0,24.73,59.23,37,0,5.03
93,Yaan,NG,2020-06-25 20:58:03,7.38,8.57,78.01,83,100,6.02
94,North Bend,US,2020-06-25 20:58:03,43.41,-124.22,77.0,82,75,27.51
95,Kavieng,PG,2020-06-25 20:58:03,-2.57,150.8,83.34,72,51,12.06
96,Airai,TL,2020-06-25 20:58:03,-8.93,125.41,57.24,100,54,3.56
97,Arroyo,ES,2020-06-25 20:58:03,41.61,-4.8,73.99,88,58,4.7
98,Vila Velha,BR,2020-06-25 20:58:04,-20.33,-40.29,77.0,73,48,10.29
99,Kaitangata,NZ,2020-06-25 20:53:40,-46.28,169.85,43.0,79,8,4.0
100,Malakal,SS,2020-06-25 20:58:04,9.53,31.66,79.18,70,1,4.68
101,Bambous Virieux,MU,2020-06-25 20:55:04,-20.34,57.76,73.0,73,40,16.11
102,Lima,PE,2020-06-25 20:55:15,-12.04,-77.03,62.6,82,90,5.82
103,Sitka,US,2020-06-25 20:53:29,57.05,-135.33,51.8,81,90,5.82
104,Jasper,US,2020-06-25 20:58:05,37.2,-94.35,91.4,36,1,13.87
105,Lukow,PL,2020-06-25 20:58:05,51.93,22.38,69.01,10,13,7.99
106,Port Elizabeth,ZA,2020-06-25 20:58:06,-33.92,25.57,69.55,29,0,12.24
