City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
413,Cockburn Town,TC,84.2,scattered clouds,21.46,-71.14,Osprey Beach Hotel
414,Nalut,LY,84.25,clear sky,30.33,10.85,
416,Lincoln,US,84.99,clear sky,40.8,-96.67,Courtyard by Marriott Lincoln Downtown/Haymarket
420,Wagar,SD,84.45,overcast clouds,16.15,36.2,
421,Salaya,IN,85.48,overcast clouds,22.32,69.6,sumbhaniya suny Muslim Jamat
424,Son Tay,VN,86.0,few clouds,21.14,105.5,Khách Sạn Đông Thành
425,Cao Bang,VN,83.64,overcast clouds,22.67,106.25,khách sạn 88
426,Mach,PK,81.07,clear sky,29.86,67.33,
431,Gouyave,GD,80.6,few clouds,12.16,-61.73,Rumboat Retreat
432,Wanning,CN,85.66,clear sky,18.8,110.4,Paradise Hotel
436,Mikuni,JP,75.2,broken clouds,36.22,136.15,Haiya
441,Kysyl-Syr,RU,80.8,broken clouds,63.9,122.76,
445,Coahuayana,MX,82.4,scattered clouds,18.73,-103.68,Hotel Los Arcos
447,Pochutla,MX,84.2,thunderstorm,15.74,-96.47,Hotel Posada San Jose
448,Kalmunai,LK,79.86,broken clouds,7.42,81.82,VS Villa
449,Laurel,US,82.4,clear sky,39.1,-76.85,Days Inn & Suites by Wyndham Laurel Near Fort Meade
454,Crestview,US,86.0,clear sky,30.76,-86.57,Holiday Inn Express & Suites Crestview South I-10
457,Nizwa,OM,81.18,few clouds,22.93,57.53,Orient Apartments
460,Malakal,SS,77.05,overcast clouds,9.53,31.66,Nile Palace Hotel
464,Sawakin,SD,84.94,overcast clouds,19.11,37.33,فندق الدويم
467,Mongo,TD,83.28,clear sky,12.18,18.69,
468,Banda Aceh,ID,80.67,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
471,Hamilton,US,77.0,light rain,39.18,-84.53,Six Acres Bed & Breakfast
472,Itamaraca,BR,77.0,few clouds,-7.75,-34.83,Special K's Bed & Breakfast
486,Canton,CN,89.01,broken clouds,23.12,113.25,Guangzhou Hotel
489,Silver City,US,75.2,clear sky,32.77,-108.28,Copper Manor Motel
490,Ahmadnagar,IN,78.21,overcast clouds,19.08,74.73,STARiHOTELS Maliwada Ahmednagar
491,Carberry,CA,86.0,thunderstorm with light rain,49.87,-99.36,Carberry Motor Inn
493,Wyndham,US,87.8,clear sky,37.7,-77.61,Hilton Richmond Hotel & Spa/Short Pump
497,Grand-Lahou,CI,76.06,overcast clouds,5.14,-5.02,Hotel Beatitude de Grand Lahou
500,Wilmington Island,US,87.8,clear sky,32.0,-80.97,Breezeway Studio Manor
503,Dong Hoi,VN,87.89,clear sky,17.48,106.6,Nam Long Hotel
506,Puerto Escondido,MX,84.2,thunderstorm,15.85,-97.07,Aldea del Bazar Hotel and Spa
508,Nago,JP,84.2,few clouds,26.59,127.98,Hotel Yugaf Inn Okinawa
510,Fukue,JP,77.0,broken clouds,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
511,Kudahuvadhoo,MV,83.23,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
514,Westport,US,75.2,clear sky,41.14,-73.36,The Westport Inn
515,Carbondale,US,82.4,clear sky,37.73,-89.22,Best Western Saluki Inn
517,Thinadhoo,MV,84.47,scattered clouds,0.53,72.93,
518,Tatawin,TN,82.4,clear sky,32.93,10.45,Sangho Privilege Tataouine
519,Post Falls,US,75.0,scattered clouds,47.72,-116.95,Red Lion Hotel Templin's on the River
523,Puri,IN,82.4,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
524,Manicore,BR,79.0,overcast clouds,-5.81,-61.3,Pousada da wanda
525,Sompeta,IN,83.59,overcast clouds,18.93,84.6,V.B.R A/C Lodge And Function Hall
534,Marrakesh,MA,75.2,clear sky,31.63,-8.01,Les Jardins de La Koutoubia
544,Tra Vinh,VN,83.01,overcast clouds,9.93,106.35,Hồng Ân
548,Lodwar,KE,81.32,scattered clouds,3.12,35.6,Turkwel Lodge
551,Brownwood,US,87.8,clear sky,31.71,-98.99,La Quinta Inn & Suites by Wyndham Brownwood
552,Douglas,US,86.0,clear sky,41.3,-96.17,Hilton Garden Inn Omaha West
555,Neiafu,TO,80.6,broken clouds,-18.65,-173.98,Mystic Sands
556,Hatta,IN,83.35,overcast clouds,24.12,79.6,Vrindavan Marriage Garden
558,Marawi,PH,81.0,clear sky,8.0,124.29,Derogongan Residence
560,Xinzhou,CN,78.03,overcast clouds,38.41,112.73,Shell Hotel - Xinzhou
563,Elko,US,89.6,clear sky,41.0,-115.5,
567,La Asuncion,VE,78.66,overcast clouds,11.03,-63.86,Colinas de Matasiete
571,Jamiltepec,MX,75.99,broken clouds,16.28,-97.82,Hotel Marys
573,Chengde,CN,79.34,overcast clouds,40.97,117.94,Super 8 Hotel
579,Weligama,LK,80.1,overcast clouds,5.97,80.42,Weligama Bay Resort
580,Jabinyanah,TN,80.6,few clouds,35.03,10.91,maison belmabrouk
