City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
59,Kijang,KR,35.24,129.21,80.6,65,3,3.36,clear sky,0.0,0.0
60,Khatanga,RU,71.97,102.5,74.86,41,100,1.97,overcast clouds,0.0,0.0
61,Kapit,MY,2.02,112.93,72.95,95,100,2.8,light rain,0.18,0.0
62,Atar,MR,20.52,-13.05,96.94,10,0,10.69,clear sky,0.0,0.0
63,Amursk,RU,50.23,136.9,68.97,65,57,9.22,broken clouds,0.0,0.0
64,Nome,US,64.5,-165.41,44.6,93,90,24.16,light rain,0.0,0.0
65,Kodiak,US,57.79,-152.41,55.4,54,90,6.93,overcast clouds,0.0,0.0
66,Bandarbeyla,SO,9.49,50.81,81.72,64,16,29.97,few clouds,0.0,0.0
67,Heihe,CN,50.24,127.49,62.6,100,75,6.71,broken clouds,0.0,0.0
68,Bambous Virieux,MU,-20.34,57.76,72.0,78,20,11.41,few clouds,0.0,0.0
69,Mataura,NZ,-46.19,168.86,44.78,89,100,1.97,overcast clouds,0.0,0.0
70,Rikitea,PF,-23.12,-134.97,70.32,74,11,20.22,few clouds,0.0,0.0
71,Castro,BR,-24.79,-50.01,51.49,97,99,6.06,overcast clouds,0.0,0.0
72,Waterfoot,GB,53.69,-2.25,53.01,92,99,8.01,light rain,0.25,0.0
73,Flinders,AU,-34.58,150.86,57.0,66,0,5.99,clear sky,0.0,0.0
74,Moron,AR,-34.65,-58.62,51.01,67,0,3.76,clear sky,0.0,0.0
75,Tavatuy,RU,57.07,60.13,50.0,100,90,4.47,light intensity shower rain,0.0,0.0
76,Alice Springs,AU,-23.7,133.88,51.8,36,0,6.93,clear sky,0.0,0.0
77,Port Moresby,PG,-9.44,147.18,86.0,94,20,3.36,haze,0.0,0.0
78,Kavaratti,IN,10.57,72.64,83.34,76,11,17.56,light rain,0.15,0.0
79,Zhezkazgan,KZ,47.8,67.71,55.9,45,0,9.91,clear sky,0.0,0.0
80,Cape Town,ZA,-33.93,18.42,59.0,81,40,4.7,scattered clouds,0.0,0.0
81,Hervey Bay,AU,-25.3,152.85,66.2,68,11,10.29,light rain,0.13,0.0
82,Tasiilaq,GL,65.61,-37.64,41.0,86,99,5.82,light intensity shower rain,0.0,0.0
83,Stornoway,GB,58.21,-6.39,55.99,100,100,4.7,light rain,0.89,0.0
84,Kavieng,PG,-2.57,150.8,84.63,72,10,11.12,light rain,0.79,0.0
85,Pevek,RU,69.7,170.31,32.99,95,91,20.24,overcast clouds,0.0,0.0
86,Clyde River,CA,70.47,-68.59,33.8,100,75,6.93,mist,0.0,0.0
87,Bubaque,GW,11.28,-15.83,81.68,85,95,14.23,overcast clouds,0.0,0.0
88,Hithadhoo,MV,-0.6,73.08,84.31,73,62,7.78,broken clouds,0.0,0.0
89,Waitara,NZ,-38.92,174.25,53.01,86,100,8.99,light rain,0.76,0.0
90,Arraial Do Cabo,BR,-22.97,-42.03,69.94,83,95,20.38,overcast clouds,0.0,0.0
91,Ancud,CL,-41.87,-73.82,46.99,100,90,3.36,overcast clouds,0.0,0.0
92,Khandyga,RU,62.67,135.6,83.8,40,0,2.28,clear sky,0.0,0.0
93,Kapaa,US,22.08,-159.32,82.99,69,90,18.34,overcast clouds,0.0,0.0
94,Kresna,BG,41.73,23.15,61.0,67,0,1.01,clear sky,0.0,0.0
95,Upernavik,GL,72.79,-56.15,38.88,85,12,9.01,few clouds,0.0,0.0
